Removed Pin From Net: NetName=NetC5_1 Pin=C5-1
Removed Pin From Net: NetName=GND Pin=C5-2
Removed Pin From Net: NetName=NetC5_1 Pin=C13-1
Removed Pin From Net: NetName=GND Pin=C13-2
Change Component Footprint: Designator=C13 Old Footprint=C_TN_7343 New Footprint=C1206
Change Component Footprint: Designator=R29 Old Footprint=R1206 New Footprint=R0805
Change Component Footprint: Designator=R30 Old Footprint=R1206 New Footprint=R0805
Change Component Footprint: Designator=R31 Old Footprint=R1206 New Footprint=R0805
Change Component Footprint: Designator=R144 Old Footprint=R1206 New Footprint=R0805
Change Component Footprint: Designator=R145 Old Footprint=R1206 New Footprint=R0805
Change Component Footprint: Designator=R146 Old Footprint=R1206 New Footprint=R0805
Change Component Designator: OldDesignator=C6 NewDesignator=C5
Change Component Designator: OldDesignator=C7 NewDesignator=C6
Change component parameters: Designator = "C13" ("C13"); Footprint = "C_TN_7343"; UniqueID = "\DMWOXWPA\KNMLDNNF" ("\DMWOXWPA\KNMLDNNF")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "CAP, MLCC, 1nF, 50V, C0G, 10%, 0402"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "Murata"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "MANF_PART#"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "C0G, 10%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "50V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 1$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "10uF"; VariantName = "[No Variations]"
Change component parameters: Designator = "R29" ("R29"); Footprint = "R1206"; UniqueID = "\DMWOXWPA\LBTSRGNY" ("\DMWOXWPA\LBTSRGNY")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "DESCRIPTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = "MOUSER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "-W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 0.5$"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "VALUE"; Value = "4.7K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R30" ("R30"); Footprint = "R1206"; UniqueID = "\DMWOXWPA\HTGGZUIP" ("\DMWOXWPA\HTGGZUIP")
Change component parameters (AddParameter): Name = "ASSEMBLY"; Value = "ASSEMBLY"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DESC"; Value = "DESCRIPTION"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "DIST#"; Value = "MOUSER"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MANF_P#"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM"; Value = "-W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PARAM2"; Value = "1%"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "PRICE"; Value = "100= 0.5$"; VariantName = "[No Variations]"
